1919;1922;Russie;Russie du Nord,Russie du Sud;État révolutionnaire;143;Russe
1924;1927;France;France Est,France Ouest,France du Sud;République;30;Français
1924;1927;Allemagne;Allemagne Est,Allemagne Ouest;République/Empire;60;Allemand
1924;1927;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;30;Anglais
1924;1927;Belgique;Belgique;Royaume;6;Néerlandais
1924;1927;Espagne;Espagne,Catalogne;Monarchie;18;Espagnole
1924;1927;Portugal;Portugal;Démocratie;8;Portugais
1924;1927;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;18;Italien
1924;1927;Belgique;Belgique;Royaume;4;Néerlandais
1924;1927;Norvège;Norvege du Nord,Norvege du Sud;Royaume;1;Norvégien
1924;1927;Suède;Suede du Sud, Suede du Nord;Royaume;2;Suédois
1924;1927;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;1;Finnois
1924;1927;Roumanie;Roumanie;Monarchie;10;Roumain
1924;1927;Suisse;Suisse;Confédération;4;Suisse allemand
1924;1927;Ireland;Irlande Nord,Irlande;République;3;Anglais
1924;1927;Bulgarie;Bulgarie;République;6;Bulgare
1924;1927;Grèce;Grece;République/Démocratie;6;Grec
1924;1927;Pologne;Pologne;République;9;Polonais
1924;1927;Tchécoslovaquie;Rep Techque;République;13;Tcèque
1924;1927;Autriche;Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République;6;Allemand
1924;1927;Yougoslavie;Serbie;Monarchie;15;Serbe
1924;1927;URSS;Russie du Nord,Russie du Sud;État fédéral;150;Russe
1924;1927;Empire Ottoman;Turquie,Bulgarie,Grece,Bosnie;Empire;5;Turc Ottoman
1928;1935;France;France Est,France Ouest,France du Sud;République;20;Français
1928;1935;Allemagne;Allemagne Est,Allemagne Ouest;République/Empire;40;Allemand
1928;1935;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;15;Anglais
1928;1935;Belgique;Belgique;Royaume;3;Néerlandais
1928;1935;Espagne;Espagne,Catalogne;Monarchie;10;Espagnole
1928;1935;Portugal;Portugal;Démocratie;8;Portugais
1928;1935;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;18;Italien
1928;1935;Belgique;Belgique;Royaume;2;Néerlandais
1928;1935;Suède;Suede du Sud, Suede du Nord;Royaume;1;Suédois
1928;1935;Roumanie;Roumanie;Monarchie;5;Roumain
1928;1935;Suisse;Suisse;Confédération;2;Suisse allemand
1928;1935;Ireland;Irlande Nord,Irlande;République;1;Anglais
1928;1935;Bulgarie;Bulgarie;République;3;Bulgare
1928;1935;Grèce;Grece;République/Démocratie;6;Grec
1928;1935;Pologne;Pologne;République;2;Polonais
1928;1935;Tchécoslovaquie;Rep Techque;République;8;Tcèque
1928;1935;Autriche;Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République;6;Allemand
1928;1935;Yougoslavie;Serbie;Monarchie;7;Serbe
1928;1935;URSS;Russie du Nord,Russie du Sud;État fédéral;80;Russe
1936;1940;France;France Est,France Ouest,France du Sud;République;15;Français
1936;1940;Allemagne;Allemagne Est,Allemagne Ouest;République/Empire;25;Allemand
1936;1940;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;12;Anglais
1936;1940;Belgique;Belgique;Royaume;2;Néerlandais
1936;1940;Espagne;Espagne,Catalogne;Monarchie;7;Espagnole
1936;1940;Portugal;Portugal;Démocratie;5;Portugais
1936;1940;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;18;Italien
1936;1940;Belgique;Belgique;Royaume;2;Néerlandais
1936;1940;Roumanie;Roumanie;Monarchie;5;Roumain
1936;1940;Bulgarie;Bulgarie;République;1;Bulgare
1936;1940;Grèce;Grece;République/Démocratie;6;Grec
1936;1940;Tchécoslovaquie;Rep Techque;République;6;Tcèque
1936;1940;Autriche;Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République;3;Allemand
1936;1940;Yougoslavie;Serbie;Monarchie;5;Serbe
1936;1940;URSS;Russie du Nord,Russie du Sud;État fédéral;20;Russe
