1945;1948;France;France du Sud;République;40;Français
1949;1954;Autriche;Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République;6;Allemand
1949;1954;Yougoslavie;Serbie;Monarchie;15;Serbe
1949;1954;URSS;Russie du Nord,Russie du Sud,Estonie,Lituanie,Pologne;État fédéral;180;Russe
1955;1960;Allemagne;Allemagne Est,Allemagne Ouest,France Est,France Ouest,France du Sud,Rep Techque,Belgique,Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République/Empire;130;Allemand
1955;1960;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;45;Anglais
1955;1960;Espagne;Espagne,Catalogne;Monarchie;25;Espagnole
1955;1960;Portugal;Portugal;Démocratie;8;Portugais
1955;1960;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;47;Italien
1955;1960;Norvège;Norvege du Nord,Norvege du Sud;Royaume;3;Norvégien
1955;1960;Suède;Suede du Sud, Suede du Nord;Royaume;6;Suédois
1955;1960;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;3;Finnois
1955;1960;Suisse;Suisse;Confédération;4;Suisse allemand
1955;1960;Ireland;Irlande Nord,Irlande;République;3;Anglais
1955;1960;Bulgarie;Bulgarie;République;8;Bulgare
1955;1960;Grèce;Grece;République/Démocratie;7;Grec
1955;1960;URSS;Russie du Nord,Russie du Sud,Estonie,Lituanie,Pologne,Serbie,Roumanie;État fédéral;200;Russe
1961;1966;Allemagne;Allemagne Est,Allemagne Ouest,France Est,France du Sud,Rep Techque,Belgique,Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République/Empire;200;Allemand
1961;1966;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;45;Anglais
1961;1966;Espagne;Espagne,Catalogne;Monarchie;25;Espagnole
1961;1966;Portugal;Portugal;Démocratie;8;Portugais
1961;1966;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;44;Italien
1961;1966;Norvège;Norvege du Nord,Norvege du Sud;Royaume;3;Norvégien
1961;1966;Suède;Suede du Sud, Suede du Nord;Royaume;6;Suédois
1961;1966;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;3;Finnois
1961;1966;Roumanie;Roumanie;Monarchie;15;Roumain
1961;1966;Suisse;Suisse;Confédération;4;Suisse allemand
1961;1966;Ireland;Irlande Nord,Irlande;République;3;Anglais
1961;1966;Bulgarie;Bulgarie;République;6;Bulgare
1961;1966;Grèce;Grece;République/Démocratie;6;Grec
1955;1970;URSS;Russie du Nord,Russie du Sud,Estonie,Lituanie,Pologne,Serbie;État fédéral;208;Russe
1963;1970;France;France Ouest;Démocratie;20;Francais
1967;1970;Allemagne;Allemagne Est,Allemagne Ouest,Rep Techque,Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République/Empire;200;Allemand
1967;1970;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;45;Anglais
1967;1970;Espagne;Espagne,Catalogne;Monarchie;25;Espagnole
1967;1970;Portugal;Portugal;Démocratie;8;Portugais
1967;1970;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;44;Italien
1967;1970;Norvège;Norvege du Nord,Norvege du Sud;Royaume;3;Norvégien
1967;1970;Suède;Suede du Sud, Suede du Nord;Royaume;6;Suédois
1967;1970;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;3;Finnois
1967;1970;Roumanie;Roumanie;Monarchie;15;Roumain
1967;1970;Suisse;Suisse;Confédération;4;Suisse allemand
1967;1970;Ireland;Irlande Nord,Irlande;République;3;Anglais
1967;1970;Bulgarie;Bulgarie;République;6;Bulgare
1967;1970;Grèce;Grece;République/Démocratie;6;Grec
1967;1970;URSS;Russie du Nord,Russie du Sud,Estonie,Lituanie,Serbie;État fédéral;208;Russe
1967;1970;France;France Ouest;Démocratie;20;Francais
1967;1970;Belgique;Belgique;Democartie;8;Néerlandais
1967;1970;Pologne;Pologne;République;8;Polonais
